Minis ; ; ; ;; ; ; ; ;; 
CHEVROLET SPARK ;661;4,2;-;37,2;87,3; 8 054;3,8;- ;38,6;78,5
CITROEN C-ZERO   ;30;0,2;;X;96,7;454;0,2;+ ;127;85,5
CITROEN C1   ;372;2,3;-;31,4;76,3; 7 463;3,5;- ;18;69,9
DAIHATSU CUORE   ;18;0,1;-;87,8;44,4;442;0,2;- ;61;33,7
FIAT PANDA   ; 1 102 ;7;+;10;76,2; 15 965;7,5;- ;0,4;62,3
FIAT 500   ; 1 601 ;10,1;+;45,9;78,8; 20 018;9,4;+ ;18,2;72,3
FORD KA   ;620;3,9;-;13,3;86,8; 9 112;4,3;- ;14,1;75
HYUNDAI I 10   ;589;3,7;-;15,3;74,5; 14 000;6,5;+ ;3,1;79,8
LANCIA YPSILON   ;37;0,2;-;84,3;54,1; 1 068;0,5;+ ;3,5;67,8
MITSUBISHI I-MIEV   ;19;0,1;;X;89,5;96;0;- ;85,9;89,6
NISSAN PIXO   ;297;1,9;+;58;97; 1 943;0,9;- ;28,6;79,9
OPEL AGILA   ;181;1,1;-;66,2;75,7; 2 693;1,3;- ;33,9;59,6
PEUGEOT ION   ;2;0;;X;50;263;0,1;+ ;26,4;94,7
PEUGEOT 107   ;158;1;-;50;69; 4 453;2,1;- ;14,1;68,6
RENAULT TWINGO   ; 1 537 ;9,7;-;15,9;72; 21 148;9,9;- ;3,4;48,5
SEAT MII   ; 1 096 ;6,9;;X;60,7; 7 845;3,7; ;X;52,6
SKODA CITIGO   ; 1 313 ;8,3;;X;60,8; 8 488;4; ;X;60,1
SMART FORTWO   ; 1 280 ;8,1;-;24,8;53,8; 28 053;13,1;- ;4,8;39,9
SUZUKI ALTO   ;109;0,7;-;48,1;45,9; 3 069;1,4;- ;16,6;33,8
SUZUKI SPLASH   ;236;1,5;-;11,3;30,5; 3 428;1,6;+ ;18;27,6
TOYOTA AYGO   ; 1 555 ;9,8;-;14,8;66,6; 11 431;5,3;- ;6;45,7
TOYOTA IQ   ;66;0,4;-;66,5;59,1; 1 415;0,7;- ;26,4;43,3
VW FOX   ;1;0;-;99,8;-;148;0,1;- ;97,9;80,4
VW UP   ; 2 950 ;18,6;-;3,5;50,4; 42 842;20;+ ;1 003,0;44,2
SONSTIGE   ;- ;-;;X;-;4;0;- ;94,4;25
ZUSAMMEN  ; 15 830 ;7,7;-;2,7;66,3; 213 895;6,9;+ ;20,3;55,8
Kleinwagen ; ; ; ;; ; ; ; ;; 
ALFA MITO   ;77;0,2;-;28;80,5; 1 777;0,3;- ;20;64,7
AUDI A1, S1   ; 1 411 ;4,5;-;38,2;58,2; 29 446;5,7;+ ;1,8;56,3
BMW MINI   ; 2 751 ;8,7;-;28,9;49,3; 36 302;7;- ;10;55,2
CHEVROLET KALOS, AVEO ;134;0,4;-;81,5;80,6; 3 479;0,7;- ;28,1;71,8
CITROEN C3   ;272;0,9;-;63,2;45,6; 10 315;2;- ;12,2;58,6
CITROEN DS3   ;416;1,3;+;10,6;88,9; 6 195;1,2;- ;4;74,9
DAIHATSU SIRION   ;4;0;-;98,7;100;367;0,1;- ;77,4;52,9
FIAT PUNTO   ;446;1,4;-;71,5;52,5; 10 244;2;- ;53,9;47,8
FORD FIESTA   ; 2 511 ;7,9;-;41,2;81,9; 50 874;9,8;- ;5,7;72
FORD FUSION   ;7;0;-;96,5;14,3; 1 156;0,2;- ;69,5;54,8
HONDA INSIGHT   ;10;0;;X;60;256;0;+ ;28,6;65,2
HONDA JAZZ   ;727;2,3;-;51,4;60,1; 11 138;2,1;- ;10,1;44,8
HYUNDAI I 20   ; 1 108 ;3,5;+;6,3;74,4; 16 028;3,1;+ ;29,5;60,4
KIA PICANTO   ;621;2;+;4,5;64,7; 7 363;1,4;+ ;11,4;43,6
KIA VENGA   ;361;1,1;-;6;67,3; 5 624;1,1;- ;23,5;45,6
MAZDA 2   ;529;1,7;-;0,8;72,4; 7 677;1,5;- ;10,2;39,1
MITSUBISHI COLT   ;625;2;+;16;58,6; 7 887;1,5;- ;15,4;30,8
MITSUBISHI MIRAGE ;- ;-;;X;-;10;0; ;X;100
NISSAN JUKE   ;577;1,8;-;14,3;67,4; 9 941;1,9;- ;6,2;60,5
NISSAN MICRA   ;606;1,9;-;31,7;73,3; 9 659;1,9;- ;18,9;63,6
OPEL ADAM ;85;0,3;;X;100;186;0; ;X;100
OPEL CORSA   ; 3 293 ;10,4;-;48,2;78,7; 55 747;10,7;- ;20,5;72,5
