Minis ; ; ; ;; ; ; ; ;; 
SONSTIGE   ;2;0;;X;100;11;0;-;97,8;54,5
ZUSAMMEN   ; 43 266 ;17,7;+;3,2;57,9; 584 994;18,4;+ ;6,3;50
Kompaktklasse ; ; ; ;; ; ; ; ;; 
ALFA GIULIETTA;389;0,7;+;11,1;47,3; 6 332;0,8;+;151,2;38,7
ALFA 147, GT;11;0;-;73,8;90,9;73;0;-;83,4;43,8
AUDI A3, S3, RS3; 4 079;6,9;-;32,6;79,8; 53 801;6,7;-;15,2;70,4
BMW 1ER; 4 601;7,8;+;13,3;59,2; 52 881;6,6;-;4,5;67,2
CHEVROLET CRUZE;343;0,6;+;81,5;56,6; 4 356;0,5;+;122,8;70,7
CHEVROLET NUBIRA;6;0;-;95,5;83,3;264;0;-;74,4;73,5
CITROEN C4;850;1,4;-;7,6;68,5; 16 420;2;+;36,6;61,4
CITROEN DS4;146;0,2;;X;65,1; 2 619;0,3; ;X;74,7
DACIA LOGAN;602;1;-;1,3;29,1; 6 855;0,9;-;25,9;25,3
DACIA SANDERO;812;1,4;-;30,7;9,1; 11 627;1,4;-;30,9;9,8
DODGE CALIBER;5;0;-;93;60;160;0;-;79,4;70,6
FIAT BRAVO, BRAVA;62;0,1;-;49,6;46,8; 1 448;0,2;-;11,4;43,8
FORD FOCUS; 4 616;7,8;+;62,9;82,2; 61 157;7,6;+;13,8;78,8
GM CHEVROLET VOLT;3;0;;X;100;25;0; ;X;100
HONDA CIVIC;891;1,5;+;32,4;83,6; 7 795;1;+;7,8;49,1
HYUNDAI ACCENT;17;0;;X;88,2;34;0;-;70,7;50
HYUNDAI I 30; 2 471;4,2;+;5,7;63,3; 32 697;4,1;+;7,2;25
KIA CEED; 1 245;2,1;+;12,3;66,7; 9 636;1,2;-;22,5;60,8
KIA RIO;911;1,5;+;839,2;55,7; 4 199;0,5;+;182,8;53,8
LADA 1118;11;0;;X;63,6;124;0;-;33,3;68,5
LADA 2170;11;0;;X;63,6;109;0;+;10,1;36,7
LANCIA DELTA;94;0,2;+;22,1;83;673;0,1;+;9,8;69,7
LEXUS CT;184;0,3;;X;56,5; 1 525;0,2; ;X;53,9
