Marke;Anzahl (Dezember);Anteil (Dezember);Vorzeichen (Dezember);Ver‰nderung (Dezember);Gewerblich Anteil (Dezember);Anzahl (Jahr);Anteil (Jahr);Vorzeichen (Jahr);Ver‰nderung (Jahr);Gewerblich Anteil (Jahr);
NISSAN GT-R   ;1;0,1;;X;100;90;0,2;-;44,1;74,4;
NISSAN 370Z   ;10;0,5;;X;60;390;1;-;20,1;65,6;
PEUGEOT RCZ   ;41;2,2;-;32,8;68,3; 1 204;3;-;31,7;56;
PORSCHE BOXSTER, CAYMAN;134;7,3;-;11,8;56; 3 865;9,6;+;77,8;54,9;
PORSCHE 911   ;407;22,2;+;7,4;61,7; 6 898;17,2;+;15,5;65,8;
SUBARU BRZ   ;2;0,1;;X;-;268;0,7;+;230,9;68,3;
TOYOTA GT 86   ;89;4,8;+;39,1;47,2; 2 067;5,2;+;81,5;53,4;
WIESMANN GT   ;1;0,1;;X;100;4;0; ;X;75;
WIESMANN ROADSTER;5;0,3;;X;80;49;0,1;-;49;73,5;
SONSTIGE   ;-;-;;X;-;-;-; ;X;-;
ZUSAMMEN   ; 1 836;0,9;-;0,2;54,8; 40 092;1,4;-;8,5;59,1;
Mini-Vans   ; ;;;;;; ; ;;;
DACIA LODGY   ;236;1,9;-;62,5;27,5; 6 363;3,3;+;28;23;
FORD B-MAX   ;898;7,1;-;17;54; 16 273;8,5;+;379,9;39,7;
FORD FOCUS C-MAX; 1 421;11,3;-;11,5;59,5; 23 003;12;-;12,5;57,5;
HYUNDAI IX 20   ;636;5;-;27,4;50,9; 9 101;4,7;+;1,8;35,8;
KIA SOUL   ;48;0,4;;-;64,6;590;0,3;-;43,3;49,5;
MERCEDES B-KLASSE; 2 167;17,2;-;32,8;41,3; 45 455;23,7;-;23,5;38,7;
NISSAN NOTE   ;647;5,1;+;97,3;68,2; 4 914;2,6;+;1;72,1;
OPEL MERIVA   ; 1 294;10,3;-;13;64,9; 18 424;9,6;-;27,6;59,1;
PEUGEOT 3008   ;78;0,6;-;67,6;82,1; 2 573;1,3;-;51,9;75,2;
RENAULT MODUS   ;-;-;-;100;-;676;0,4;-;82,2;38,6;
RENAULT SCENIC   ; 1 547;12,3;+;23,6;80,5; 17 862;9,3;-;2,8;66,5;
SEAT ALTEA, TOLEDO, LEON; 2 301;18,3;+;113,3;72,6; 31 037;16,2;+;63,6;63,2;
SKODA ROOMSTER   ; 1 172;9,3;+;30,1;41,7; 12 852;6,7;-;1,3;32,9;
SUBARU TREZIA   ;18;0,1;-;71;83,3;473;0,2;-;30,8;71,5;
TOYOTA URBAN CRUISER;4;0;;X;50;93;0;-;40;39,8;
TOYOTA VERSO-S   ;136;1,1;-;34,6;28,7; 2 170;1,1;-;54,3;23,2;
SONSTIGE   ;2;0;;X;100;12;0;-;96,3;66,7;
ZUSAMMEN   ; 12 605 ;5,9;-;5,1;59,1; 191 871;6,5;- ;4;49,8;
Groﬂraum-Vans   ; ;;;;;; ; ;;;
CHEVROLET ORLANDO;185;2;-;32,7;73; 3 448;2,7;-;37,8;61,2;
CITROEN C8   ;14;0,2;;X;42,9;286;0,2;-;29,4;62,2;
FIAT FREEMONT   ;148;1,6;-;60,4;79,7; 2 203;1,7;-;42,8;69,5;
FIAT ULYSSE, SCUDO;98;1,1;+;69;76,5;837;0,6;-;0,6;74;
FORD GALAXY   ;402;4,4;+;173,5;84,1; 4 985;3,8;-;12,2;87,4;
FORD S-MAX   ;767;8,3;+;208;86,3; 9 668;7,4;-;17,9;83,9;
KIA CARENS   ;216;2,3;;X;46,3; 2 373;1,8;+;931,7;66,7;
LANCIA VOYAGER   ;60;0,6;+;20;83,3;786;0,6;-;6,9;81,7;
MAZDA 5   ;228;2,5;-;43,8;71,5; 3 937;3;-;34,6;65,5;
MERCEDES VIANO   ;715;7,7;+;0,7;74,4; 7 550;5,8;-;11,8;76,1;
OPEL ZAFIRA   ; 1 464;15,9;+;3,1;71,8; 20 114;15,5;-;32,9;71,6;
PEUGEOT 807   ;16;0,2;-;52,9;50;276;0,2;-;40,3;60,9;
PEUGEOT 5008   ;221;2,4;+;7,8;70,6; 2 660;2;-;34;67,9;
RENAULT ESPACE   ;129;1,4;+;34,4;73,6; 1 299;1;-;20,2;72,4;
SEAT ALHAMBRA   ;948;10,3;+;68,1;84; 8 240;6,3;+;16,6;78,7;
SSANGYONG RODIUS;4;0;;X;50;58;0; ;X;93,1;
TOYOTA PRIUS PLUS;44;0,5;-;68,3;79,5; 1 138;0,9;-;1;62,4;
VW SHARAN   ; 1 048;11,4;+;8;83,1; 13 906;10,7;-;18,4;77,5;
VW TOURAN   ; 2 523;27,3;-;18,8;70,9; 46 184;35,5;-;12,9;68;
SONSTIGE   ;1;0;;X;-;11;0; ;X;63,6;
ZUSAMMEN   ; 9 231 ;4,3;+;4,5;75,6; 129 959;4,4;- ;17,8;72,5;
Utilities ; ; ; ;; ; ; ; ;; ;
CITROEN BERLINGO;555;5,4;-;3,1;69,2; 9 944;8,4;-;11,1;62;
CITROEN JUMPER   ;24;0,2;-;11,1;70,8;306;0,3;+;8,5;79,4;
CITROEN JUMPY   ;104;1;+;10,6;73,1; 1 110;0,9;-;6,3;69,6;
CITROEN NEMO   ;7;0,1;;X;28,6;149;0,1;-;38,2;53;
DACIA DOKKER   ;249;2,4;;X;28,1; 3 824;3,2; ;X;26,6;
FIAT DOBLO   ;49;0,5;-;53,8;67,3;950;0,8;-;37,5;60,7;
FIAT DUCATO   ;71;0,7;+;12,7;69;881;0,7;-;0,5;66,1;
FIAT FIORINO   ;40;0,4;-;38,5;60;681;0,6;-;37,1;58,9;
FORD TRANSIT, TOURNEO;531;5,1;+;2,3;81,7; 10 097;8,5;+;32,8;88,9;
HYUNDAI H-1 STAREX;32;0,3;-;31,9;65,6;629;0,5;-;42,9;73;
MERCEDES CITAN   ;110;1,1;-;38,5;64,5; 1 243;1;+;90,4;85,2;
MERCEDES SPRINTER;300;2,9;+;14,5;88,3; 3 008;2,5;+;2,1;89,9;
MERCEDES VITO   ;585;5,7;+;14;83,2; 5 553;4,7;-;11,7;84,7;
NISSAN NV200   ;114;1,1;-;50,6;82,5; 2 145;1,8;-;8,2;68,2;
NISSAN NV400   ;2;0;;X;50;55;0;+;61,8;78,2;
NISSAN PRIMASTAR;10;0,1;;X;80;203;0,2;+;20,1;78,8;
OPEL COMBO   ;80;0,8;+;42,9;83,8; 1 177;1;-;43,8;83;
OPEL MOVANO   ;23;0,2;;X;78,3;218;0,2;-;2,2;83;
OPEL VIVARO   ;369;3,6;+;41,9;83,2; 3 709;3,1;+;10,5;88,1;
PEUGEOT BIPPER   ;18;0,2;-;28;55,6;247;0,2;-;24,2;64;
PEUGEOT BOXER   ;39;0,4;+;2,6;94,9;339;0,3;-;40,6;87,3;
PEUGEOT EXPERT   ;30;0,3;-;46,4;83,3;587;0,5;-;30;81,4;
PEUGEOT PARTNER;226;2,2;+;43,9;67,3; 2 592;2,2;-;28,2;68,7;
RENAULT KANGOO   ;470;4,6;+;78,7;64; 5 040;4,2;-;10,6;64,6;
RENAULT MASTER, NISSAN INTERSTAR;27;0,3;-;12,9;74,1;359;0,3;-;12,4;83;
RENAULT TRAFIC   ;99;1;-;9,2;78,8; 1 685;1,4;-;17,2;80,6;
VW CADDY   ; 3 211;31,1;+;66,5;85,1; 30 772;25,9;-;4,8;68,3;
VW CRAFTER   ;88;0,9;+;76;90,9;809;0,7;-;22,6;93,6;
VW TRANSPORTER, CARAVELLE; 2 847;27,6;+;20,3;81,9; 30 709;25,8;-;4,5;79,3;
SONSTIGE   ;3;0;;X;100;10;0;-;66,7;90;
ZUSAMMEN   ; 10 313 ;4,8;+;27,6;79,5; 119 031;4;- ;2,6;73,6;
Wohnmobile ; ; ; ;; ; ; ; ;; ;
CITROEN JUMPER   ;32;3,9;;X;6,3;914;3,7;+;20,7;17,5;
FIAT DUCATO   ;440;52,9;-;13;17,3; 16 840;67,9;+;2,9;35,3;
FORD TRANSIT, TOURNEO;49;5,9;-;19,7;71,4; 2 021;8,1;+;0,7;78,6;
IVECO DAILY   ;22;2,6;;X;18,2;320;1,3;+;6,3;30;
IVECO EUROCARGO;1;0,1;;X;-;23;0,1;-;53,1;17,4;
MAN TGL02;3;0,4;;X;66,7;30;0,1; ;X;26,7;
MERCEDES SPRINTER;28;3,4;;-;50;414;1,7;-;17,4;26,8;
MERCEDES VIANO   ;54;6,5;+;17,4;68,5;813;3,3;+;11,1;71,7;
PEUGEOT BOXER   ;7;0,8;;X;42,9;109;0,4;-;4,4;70,6;
RENAULT MASTER, NISSAN INTERSTAR;16;1,9;;X;31,3;225;0,9; ;X;31,6;
VW TRANSPORTER, CARAVELLE;127;15,3;+;92,4;69,3; 1 975;8;+;14,8;58,3;
SONSTIGE   ;52;6,3;-;24,6;34,6; 1 125;4,5;-;25,1;36,4;
ZUSAMMEN   ;831;0,4;+;1,6;34,2; 24 809;0,8;+ ;3,1;41,2;
