Marke;Anzahl (Dezember);Anteil (Dezember);Vorzeichen (Dezember);Ver‰nderung (Dezember);Gewerblich Anteil (Dezember);Anzahl (Jahr);Anteil (Jahr);Vorzeichen (Jahr);Ver‰nderung (Jahr);Gewerblich Anteil (Jahr);
CHEVROLET VOLT   ;-;-;;X;-;25;0; ;-;88;
CITROEN C4   ;589;1;-;15,3;60,1; 10 655;1,4;-;16;71,5;
CITROEN DS4   ;77;0,1;-;43,8;55,8; 1 656;0,2;-;40;80,2;
DACIA LOGAN   ;872;1,5;+;56;17,2; 5 055;0,7;-;31,4;25,9;
DACIA SANDERO   ; 1 474;2,5;+;114,9;8,9; 17 401;2,3;+;30,4;9,7;
FIAT BRAVO, BRAVA;39;0,1;+;30;87,2;471;0,1;-;37,9;53,5;
FORD FOCUS   ; 3 433;5,8;+;4,6;73,5; 45 485;6;-;5,1;65,4;
HONDA CIVIC   ;263;0,4;-;40,6;72,6; 6 319;0,8;+;7,9;55,1;
HYUNDAI I 30   ; 3 406;5,7;+;7,6;85,7; 30 569;4,1;+;6,2;62,6;
KIA CEED   ;872;1,5;-;22,1;54,9; 17 118;2,3;+;23,1;51,5;
KIA RIO   ;511;0,9;-;0,8;55,6; 8 322;1,1;-;18,1;48,9;
LADA 2170   ;3;0;;X;66,7;26;0;-;64,9;46,2;
LANCIA DELTA   ;7;0;;X;57,1;172;0;-;61,3;69,2;
LEXUS CT   ;53;0,1;-;69,9;86,8;442;0,1;-;68,7;67,4;
MAZDA MX-5   ;60;0,1;-;55,6;63,3; 1 756;0,2;-;19,9;61,7;
MAZDA 3   ;991;1,7;+;43,6;36,2; 8 557;1,1;-;0,4;54,8;
MERCEDES A-KLASSE; 2 510;4,2;-;40,7;37; 49 034;6,5;+;53,4;43,8;
MITSUBISHI LANCER;75;0,1;+;167,9;60;728;0,1;-;53,8;39,7;
NISSAN LEAF   ;50;0,1;+;66,7;90;855;0,1;+;89,6;95,8;
OPEL AMPERA   ;17;0;;X;94,1;335;0;-;59,5;91,3;
OPEL ASTRA   ; 3 283;5,5;-;3,8;77,9; 50 322;6,7;-;24,9;77,6;
PEUGEOT 308   ;540;0,9;-;22,6;59,4; 8 939;1,2;-;26,8;75,9;
RENAULT FLUENCE   ;4;0;;X;100;60;0;-;82,8;61,7;
RENAULT MEGANE   ; 1 686;2,8;-;4,9;88,6; 20 313;2,7;-;15;73,4;
SKODA OCTAVIA   ; 4 251;7,2;+;40,8;61; 49 495;6,6;+;6,9;62;
SKODA RAPID   ; 1 633;2,8;+;516,2;72,6; 7 685;1;+;751,1;61,4;
TOYOTA AURIS   ; 1 436;2,4;+;15,9;32; 18 894;2,5;+;63;29,1;
TOYOTA COROLLA   ;23;0;;X;87;36;0; ;X;80,6;
TOYOTA PRIUS   ;83;0,1;-;50,3;71,1; 1 501;0,2;-;41,9;52,5;
TOYOTA VERSO   ;360;0,6;-;20,7;35,6; 6 675;0,9;-;4,4;33,8;
VOLVO C30   ;2;0;-;96,6;50;483;0,1;-;67,7;78,7;
VW BEETLE   ;363;0,6;-;42,1;63,1; 15 497;2,1;+;72,8;55,2;
VW EOS   ;66;0,1;-;25,8;74,2; 2 280;0,3;-;37;74;
VW GOLF, JETTA   ; 21 552;36,4;+;102,1;72,3; 244 249;32,4;+;1,5;66,3;
SONSTIGE   ;4;0;;X;50;42;0;-;58;50;
ZUSAMMEN   ; 59 243 ;27,5;+;22,1;64,7; 754 620;25,6;+ ;2,7;61,4;
Mittelklasse ; ; ; ;; ; ; ; ;; ;
ALFA 159, BRERA,  GTV, SPIDER ;-;-;;X;-;14;0;-;97,6;78,6;
ALPINA D3   ;-;-;;X;-;23;0;-;76,3;87;
AUDI A4, S4, RS4   ; 3 077;12,4;-;27,7;88; 48 310;13;-;16,2;87,6;
AUDI A5, S5, RS5   ; 1 238;5;+;70,8;83,7; 17 103;4,6;-;20;76,1;
BMW 3ER   ; 4 406;17,8;-;27,1;76; 69 486;18,6;+;11,2;78,4;
BMW 4ER;501;2;;X;53,5; 1 932;0,5; ;X;67,1;
CADILLAC ATS   ;2;0;;X;100;19;0; ;X;78,9;
CHEVROLET MALIBU;7;0;-;76,7;57,1;480;0,1;+;13,7;77,5;
CITROEN C5   ;120;0,5;-;56;68,3; 2 934;0,8;-;34,6;75,7;
CITROEN DS5   ;61;0,2;-;47;75,4; 1 028;0,3;-;51,9;86,2;
FORD MONDEO   ; 1 114;4,5;+;91,1;93,7; 13 572;3,6;-;28,4;91,5;
HONDA ACCORD   ;36;0,1;-;37,9;38,9;845;0,2;-;51,1;75,6;
HYUNDAI COUPE   ;8;0;-;82,6;87,5;102;0;-;72,3;66,7;
HYUNDAI ELANTRA   ;30;0,1;;X;80;117;0;+;33;33,3;
